geo_entity_id,geo_entity_name,2011A04,2012A04,2013A04,2011A514,2012A514,2013A514,Leaks,Cracks,Broken,Mold,M_A04,M_A514
308,Greenwich Village - SoHo,,,,,,,,,,,,
309,Union Square - Lower East Side,,,,,,,,,,,,
310,Lower Manhattan,,,,,,,,,,,,
401,Long Island City - Astoria,,,,,,,,,,,,
402,West Queens,,,,,,,,,,,,
403,Flushing - Clearview,,,,,,,,,,,,
404,Bayside - Little Neck,,,,,,,,,,,,
405,Ridgewood - Forest Hills,,,,,,,,,,,,
406,Fresh Meadows,,,,,,,,,,,,
407,Southwest Queens,,,,,,,,,,,,
408,Jamaica,,,,,,,,,,,,
409,Southeast Queens,,,,,,,,,,,,
410,Rockaways,,,,,,,,,,,,
501,Port Richmond,,,,,,,,,,,,
502,Stapleton - St. George,,,,,,,,,,,,
503,Willowbrook,,,,,,,,,,,,
504,South Beach - Tottenville,,,,,,,,,,,,
101,Kingsbridge - Riverdale,,,,,,,,,,,,
102,Northeast Bronx,,,,,,,,,,,,
103,Fordham - Bronx Pk,,,,,,,,,,,,
104,Pelham - Throgs Neck,,,,,,,,,,,,
105,Crotona -Tremont,,,,,,,,,,,,
106,High Bridge - Morrisania,,,,,,,,,,,,
107,Hunts Point - Mott Haven,,,,,,,,,,,,
201,Greenpoint,,,,,,,,,,,,
202,Downtown - Heights - Slope,,,,,,,,,,,,
203,Bedford Stuyvesant - Crown Heights,,,,,,,,,,,,
204,East New York,,,,,,,,,,,,
205,Sunset Park,,,,,,,,,,,,
206,Borough Park,,,,,,,,,,,,
207,East Flatbush - Flatbush,,,,,,,,,,,,
208,Canarsie - Flatlands,,,,,,,,,,,,
209,Bensonhurst - Bay Ridge,,,,,,,,,,,,
210,Coney Island - Sheepshead Bay,,,,,,,,,,,,
211,Williamsburg - Bushwick,,,,,,,,,,,,
301,Washington Heights,,,,,,,,,,,,
302,Central Harlem - Morningside Heights,,,,,,,,,,,,
303,East Harlem,,,,,,,,,,,,
304,Upper West Side,,,,,,,,,,,,
305,Upper East Side,,,,,,,,,,,,
306,Chelsea - Clinton,,,,,,,,,,,,
307,Gramercy Park - Murray Hill,,,,,,,,,,,,
308,Greenwich Village - SoHo,,,,,,,,,,,,
309,Union Square - Lower East Side,,,,,,,,,,,,
310,Lower Manhattan,,,,,,,,,,,,
401,Long Island City - Astoria,,,,,,,,,,,,
402,West Queens,,,,,,,,,,,,
403,Flushing - Clearview,,,,,,,,,,,,
404,Bayside - Little Neck,,,,,,,,,,,,
405,Ridgewood - Forest Hills,,,,,,,,,,,,
406,Fresh Meadows,,,,,,,,,,,,
407,Southwest Queens,,,,,,,,,,,,
408,Jamaica,,,,,,,,,,,,
409,Southeast Queens,,,,,,,,,,,,
410,Rockaways,,,,,,,,,,,,
501,Port Richmond,,,,,,,,,,,,
502,Stapleton - St. George,,,,,,,,,,,,
503,Willowbrook,,,,,,,,,,,,
504,South Beach - Tottenville,,,,,,,,,,,,
101,Kingsbridge - Riverdale,,,,,,,,,,,,
102,Northeast Bronx,,,,,,,,,,,,
103,Fordham - Bronx Pk,,,,,,,,,,,,
104,Pelham - Throgs Neck,,,,,,,,,,,,
105,Crotona -Tremont,,,,,,,,,,,,
106,High Bridge - Morrisania,,,,,,,,,,,,
107,Hunts Point - Mott Haven,,,,,,,,,,,,
201,Greenpoint,,,,,,,,,,,,
202,Downtown - Heights - Slope,,,,,,,,,,,,
203,Bedford Stuyvesant - Crown Heights,,,,,,,,,,,,
204,East New York,,,,,,,,,,,,
205,Sunset Park,,,,,,,,,,,,
206,Borough Park,,,,,,,,,,,,
207,East Flatbush - Flatbush,,,,,,,,,,,,
208,Canarsie - Flatlands,,,,,,,,,,,,
209,Bensonhurst - Bay Ridge,,,,,,,,,,,,
210,Coney Island - Sheepshead Bay,,,,,,,,,,,,
211,Williamsburg - Bushwick,,,,,,,,,,,,
301,Washington Heights,,,,,,,,,,,,
302,Central Harlem - Morningside Heights,,,,,,,,,,,,
303,East Harlem,,,,,,,,,,,,
304,Upper West Side,,,,,,,,,,,,
305,Upper East Side,,,,,,,,,,,,
306,Chelsea - Clinton,,,,,,,,,,,,
307,Gramercy Park - Murray Hill,,,,,,,,,,,,
308,Greenwich Village - SoHo,,,,,,,,,,,,
309,Union Square - Lower East Side,,,,,,,,,,,,
310,Lower Manhattan,,,,,,,,,,,,
401,Long Island City - Astoria,,,,,,,,,,,,
402,West Queens,,,,,,,,,,,,
403,Flushing - Clearview,,,,,,,,,,,,
404,Bayside - Little Neck,,,,,,,,,,,,
405,Ridgewood - Forest Hills,,,,,,,,,,,,
406,Fresh Meadows,,,,,,,,,,,,
407,Southwest Queens,,,,,,,,,,,,
408,Jamaica,,,,,,,,,,,,
409,Southeast Queens,,,,,,,,,,,,
410,Rockaways,,,,,,,,,,,,
501,Port Richmond,,,,,,,,,,,,
502,Stapleton - St. George,,,,,,,,,,,,
503,Willowbrook,,,,,,,,,,,,
504,South Beach - Tottenville,,,,,,,,,,,,
